,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_logistic_regression__C,param_logistic_regression__l1_ratio,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
80,0.3064790487289429,0.030705080552681986,0.11828486919403076,0.0217158471846971,1291.5496650148827,0.0,"{'logistic_regression__C': 1291.5496650148827, 'logistic_regression__l1_ratio': 0.0}",-0.6105246174397043,-0.49725403098852433,-0.5369100968476422,-0.550752021049321,-0.47504462744622017,-0.5100815319927487,-0.45838282161981353,-0.47635193907277473,-0.5261883133334048,-0.563756657356158,-0.5205246657146312,0.04440169209609963,54
95,0.34757075309753416,0.04456177493908065,0.11130249500274658,0.014294442429799437,10000.0,0.5555555555555556,"{'logistic_regression__C': 10000.0, 'logistic_regression__l1_ratio': 0.5555555555555556}",-0.6105203028657422,-0.4972355549810651,-0.5369363902152182,-0.5507794505416252,-0.4750376972803755,-0.510098388003946,-0.45837959080227664,-0.47635182047313684,-0.5262081455593594,-0.5637477603672167,-0.5205295101089963,0.04440479013309974,55
96,0.3429838180541992,0.01661381884713637,0.10411975383758545,0.006297344909640044,10000.0,0.6666666666666666,"{'logistic_regression__C': 10000.0, 'logistic_regression__l1_ratio': 0.6666666666666666}",-0.610532375336773,-0.4972464021472452,-0.5369433318879313,-0.5507787245253709,-0.47504204799794236,-0.5100929519789502,-0.45836513863843076,-0.4763528908191404,-0.5261975630494576,-0.563752005853478,-0.520530343223472,0.0444087514646166,56
90,0.2703775644302368,0.017579204110086358,0.10282487869262695,0.011556239112410837,10000.0,0.0,"{'logistic_regression__C': 10000.0, 'logistic_regression__l1_ratio': 0.0}",-0.6105326467211566,-0.49725312063062344,-0.5369325635894621,-0.5507848578306547,-0.47504367891823857,-0.5100841205211852,-0.458373745008889,-0.4763533055583193,-0.5261980392598081,-0.5637509953194515,-0.5205307073357789,0.04440717657660019,57
92,0.3210416555404663,0.016280451444479975,0.10083050727844238,0.004470333841681753,10000.0,0.2222222222222222,"{'logistic_regression__C': 10000.0, 'logistic_regression__l1_ratio': 0.2222222222222222}",-0.6105256734107753,-0.49724974068125916,-0.5369465272868221,-0.5507856584370179,-0.4750408224638642,-0.510088589942594,-0.45837644686725965,-0.4763542065198518,-0.5262044702377786,-0.5637490239990649,-0.5205321159846287,0.04440612092818575,58
91,0.32443368434906006,0.010191003652289811,0.09933559894561768,0.0065395988930295685,10000.0,0.1111111111111111,"{'logistic_regression__C': 10000.0, 'logistic_regression__l1_ratio': 0.1111111111111111}",-0.6105351673612759,-0.497246220038768,-0.536934039592162,-0.5507844080873963,-0.47503590171599824,-0.5100930973239899,-0.4583931854188422,-0.47635441973909565,-0.5261987935548602,-0.5637579205320675,-0.5205333153364455,0.044406510831721285,59
97,0.3245330572128296,0.02322031367898557,0.1037243127822876,0.00955410809888038,10000.0,0.7777777777777777,"{'logistic_regression__C': 10000.0, 'logistic_regression__l1_ratio': 0.7777777777777777}",-0.6105280814587721,-0.497237872495481,-0.5369396352969547,-0.5507797229575957,-0.4750368608488376,-0.5100966027643884,-0.458392410255963,-0.47635526544180457,-0.5262084987175519,-0.5637654651099856,-0.5205340415347335,0.04440610215651365,60
99,0.35774271488189696,0.031238278749387737,0.1133960247039795,0.009984289686385083,10000.0,1.0,"{'logistic_regression__C': 10000.0, 'logistic_regression__l1_ratio': 1.0}",-0.6105401017012568,-0.4972502119143812,-0.5369371305064299,-0.5507841717986999,-0.4750400571367283,-0.5100939894297116,-0.4583771250046878,-0.47635444514393954,-0.526232457011281,-0.5637515205892534,-0.5205361210236369,0.044409005846738174,61
98,0.35544910430908205,0.026739380969648407,0.11279923915863037,0.015343627637210198,10000.0,0.8888888888888888,"{'logistic_regression__C': 10000.0, 'logistic_regression__l1_ratio': 0.8888888888888888}",-0.6105386232955421,-0.49724695934767943,-0.536942443627016,-0.5507837236154,-0.47503819720917395,-0.5100930532728014,-0.4583792346159882,-0.47635401610831385,-0.5262271169503187,-0.5637653134218372,-0.520536868146407,0.04441027641578236,62
93,0.3191451787948608,0.019373190335187924,0.09833645820617676,0.005355304377962667,10000.0,0.3333333333333333,"{'logistic_regression__C': 10000.0, 'logistic_regression__l1_ratio': 0.3333333333333333}",-0.6105386328476032,-0.4972481956976111,-0.5369470488307028,-0.5507928725609312,-0.4750391642442592,-0.5100970458304512,-0.45838532433048423,-0.4763535788638478,-0.5262224915541394,-0.5637519617633064,-0.5205376316523337,0.04440864642373981,63
94,0.3693156003952026,0.029542449168023163,0.11569125652313232,0.01447564995080442,10000.0,0.4444444444444444,"{'logistic_regression__C': 10000.0, 'logistic_regression__l1_ratio': 0.4444444444444444}",-0.6105379901629704,-0.4972527224377366,-0.5369422088201903,-0.5507830033074729,-0.47503806348195293,-0.5100994797628791,-0.45838876417229796,-0.47635291740475216,-0.5262106645966431,-0.5637736644419927,-0.5205379478588888,0.044409028858684335,64
34,0.2095386266708374,0.006377741299279215,0.10282599925994873,0.0107277491438835,0.046415888336127774,0.4444444444444444,"{'logistic_regression__C': 0.046415888336127774, 'logistic_regression__l1_ratio': 0.4444444444444444}",-0.5465024624863823,-0.5194293267923464,-0.5197086671979502,-0.5140906945020437,-0.5544987794307524,-0.5209256327480531,-0.48685548474604373,-0.5122320719488347,-0.5276119225271186,-0.5329243827007666,-0.5234779425080293,0.017865198906557765,65
35,0.2102369785308838,0.008270316683410835,0.09913568496704102,0.003919235724653639,0.046415888336127774,0.5555555555555556,"{'logistic_regression__C': 0.046415888336127774, 'logistic_regression__l1_ratio': 0.5555555555555556}",-0.5484475469689091,-0.5237800945260259,-0.5258835340686983,-0.5195932885295218,-0.563742648172358,-0.5260050617459994,-0.4981625395626471,-0.5208157820213217,-0.5337655285402854,-0.5300931171080366,-0.5290289141243804,0.016617766189204134,66
36,0.2103354215621948,0.011686584443983657,0.10103161334991455,0.006311807729531539,0.046415888336127774,0.6666666666666666,"{'logistic_regression__C': 0.046415888336127774, 'logistic_regression__l1_ratio': 0.6666666666666666}",-0.5506255795170782,-0.5277671848664263,-0.5329079348019348,-0.5236185907420685,-0.5717017475357188,-0.5320813871465772,-0.5053313929467195,-0.5300174811535864,-0.5397943243366191,-0.5301046912428008,-0.534395031428953,0.016535608846197876,67
37,0.20854287147521972,0.011348873095779978,0.09813942909240722,0.0054475900783312785,0.046415888336127774,0.7777777777777777,"{'logistic_regression__C': 0.046415888336127774, 'logistic_regression__l1_ratio': 0.7777777777777777}",-0.5513022632911017,-0.5309495638291202,-0.540077832601806,-0.5272878546294285,-0.5771426727268464,-0.5346150081516201,-0.5095718155184228,-0.5360064207881449,-0.5409789347487647,-0.5293716618731134,-0.5377304028158367,0.016685517011127204,68
