,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_base_estimator__reg_lambda,param_base_estimator__num_iterations,param_base_estimator__max_depth,param_base_estimator__feature_fraction,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
15,0.3815771102905273,0.17666104680274608,0.0716085433959961,0.03403168215142364,0.0017575106248547913,100,1,1,"{'base_estimator__reg_lambda': 0.0017575106248547913, 'base_estimator__num_iterations': 100, 'base_estimator__max_depth': 1, 'base_estimator__feature_fraction': 1}",-0.5579412573206971,-0.5336311299116342,-0.5061321112451236,-0.49652605161965707,-0.5399448718991169,-0.48085813949761746,-0.4729575403361762,-0.5191194905920378,-0.503934260350706,-0.5241294510913359,-0.5135174303864102,0.02523344216782214,47
38,0.314160680770874,0.00881845118374971,0.0560492753982544,0.006474185263514353,0.005428675439323859,100,1,0.5,"{'base_estimator__reg_lambda': 0.005428675439323859, 'base_estimator__num_iterations': 100, 'base_estimator__max_depth': 1, 'base_estimator__feature_fraction': 0.5}",-0.5578472695132983,-0.5340997173857442,-0.5059907446198907,-0.49774780571714655,-0.5400126036653949,-0.4814981151963281,-0.47265633302150095,-0.5180413958636897,-0.5040688269111427,-0.5237990643827599,-0.5135761876276896,0.02511250109196468,48
54,0.3752961874008179,0.01044155672597404,0.052858614921569826,0.002044320944008958,568.9866029018293,100,8,0.25,"{'base_estimator__reg_lambda': 568.9866029018293, 'base_estimator__num_iterations': 100, 'base_estimator__max_depth': 8, 'base_estimator__feature_fraction': 0.25}",-0.5317934187757569,-0.5322825373566722,-0.5063929787964957,-0.4922301575236835,-0.5526239071186201,-0.4690817898299852,-0.5175756337874893,-0.5234055708563949,-0.5233590997806118,-0.500861325073742,-0.5149606418899452,0.022459609663077935,49
40,1.2376898288726808,0.056432404661224324,0.05704696178436279,0.002516607906566154,0.868511373751352,400,5,0.25,"{'base_estimator__reg_lambda': 0.868511373751352, 'base_estimator__num_iterations': 400, 'base_estimator__max_depth': 5, 'base_estimator__feature_fraction': 0.25}",-0.5710331628699203,-0.5232949021393505,-0.5197328344077679,-0.5029148772883099,-0.5021042086170764,-0.46787412547625495,-0.49075034825096164,-0.5031150435567844,-0.5321837296544235,-0.5401507044952953,-0.5153153936756145,0.0272401573225314,50
42,0.829780387878418,0.06471883292563936,0.05455443859100342,0.0032487071147118208,0.0013257113655901094,200,6,1,"{'base_estimator__reg_lambda': 0.0013257113655901094, 'base_estimator__num_iterations': 200, 'base_estimator__max_depth': 6, 'base_estimator__feature_fraction': 1}",-0.5226458496642709,-0.5460271577199716,-0.5131526911085288,-0.4945434849529045,-0.5116720201074687,-0.4846458614597965,-0.4968403015061475,-0.5128034999130846,-0.5455941882900928,-0.5267885573872626,-0.5154713612109527,0.019449488832548035,51
20,0.34487714767456057,0.009563574871755003,0.05305898189544678,0.0021304357440997063,79.06043210907701,200,1,1,"{'base_estimator__reg_lambda': 79.06043210907701, 'base_estimator__num_iterations': 200, 'base_estimator__max_depth': 1, 'base_estimator__feature_fraction': 1}",-0.5483016397012096,-0.5312723060424445,-0.514699453425002,-0.4754202788486069,-0.5587719198057547,-0.4977557519923824,-0.4883824536823739,-0.5192301856425974,-0.5082918897431996,-0.5209775907627228,-0.5163103469646293,0.024379756651025517,52
35,1.0023185729980468,0.2772031158399544,0.06283349990844726,0.013211185047889222,0.001,200,7,1,"{'base_estimator__reg_lambda': 0.001, 'base_estimator__num_iterations': 200, 'base_estimator__max_depth': 7, 'base_estimator__feature_fraction': 1}",-0.5373266147686926,-0.5418645196218076,-0.517802116947365,-0.507054060114102,-0.5051001244955909,-0.48102219387815737,-0.49543752600143554,-0.5109604533981027,-0.5395829989738066,-0.533357564643947,-0.5169508172843007,0.019611079186476307,53
31,0.3741974115371704,0.013146843581074109,0.05704803466796875,0.012374900915212574,1000.0,100,3,0.5,"{'base_estimator__reg_lambda': 1000.0, 'base_estimator__num_iterations': 100, 'base_estimator__max_depth': 3, 'base_estimator__feature_fraction': 0.5}",-0.5265820318700122,-0.5363352095294308,-0.5124299093092539,-0.49236051487087285,-0.5651731044187014,-0.47720084737258633,-0.519113936627664,-0.5177905558620001,-0.5297792247126174,-0.5009683548969984,-0.5177733689470136,0.02327597709693227,54
60,1.5119555473327637,0.11410293815864996,0.05964045524597168,0.0017157812510444723,0.15998587196060574,400,7,0.25,"{'base_estimator__reg_lambda': 0.15998587196060574, 'base_estimator__num_iterations': 400, 'base_estimator__max_depth': 7, 'base_estimator__feature_fraction': 0.25}",-0.5721134580872977,-0.5263743055198088,-0.5215477178949669,-0.5196176744972582,-0.510827269073294,-0.4768741770505649,-0.5063520186352383,-0.4978927528099364,-0.5303628599327768,-0.5452444940897115,-0.5207206727590854,0.024733456925992037,55
12,1.6516823530197144,0.08965878785678681,0.05754764080047607,0.0024853073534180765,0.21209508879201905,400,7,0.5,"{'base_estimator__reg_lambda': 0.21209508879201905, 'base_estimator__num_iterations': 400, 'base_estimator__max_depth': 7, 'base_estimator__feature_fraction': 0.5}",-0.5615567764028896,-0.5433093326091616,-0.5269612347913429,-0.5174743952456506,-0.511875298818169,-0.48712340755718336,-0.49777339039773894,-0.5049448100823041,-0.5287134535847834,-0.5289834098327096,-0.5208715509321933,0.020836794508792708,56
13,1.6006237506866454,0.04540850825095885,0.060134267807006835,0.0018479847511204777,0.03906939937054617,400,7,0.5,"{'base_estimator__reg_lambda': 0.03906939937054617, 'base_estimator__num_iterations': 400, 'base_estimator__max_depth': 7, 'base_estimator__feature_fraction': 0.5}",-0.5599992393182485,-0.5403780271576049,-0.5272833141235287,-0.5234401899448331,-0.5106251816138242,-0.4917686750734934,-0.4985324024911929,-0.5062676287123998,-0.5292937539400009,-0.5328988611698365,-0.5220487273544963,0.019558110960056753,57
16,1.6184709072113037,0.168282547330028,0.06023893356323242,0.0024104140755202446,0.21209508879201905,400,7,0.25,"{'base_estimator__reg_lambda': 0.21209508879201905, 'base_estimator__num_iterations': 400, 'base_estimator__max_depth': 7, 'base_estimator__feature_fraction': 0.25}",-0.5745385363578956,-0.5289907384231253,-0.5218815156580817,-0.5202127578424156,-0.5086029836572161,-0.47883353592337297,-0.5014608651969683,-0.5016019636218644,-0.5388261433868704,-0.5468955160294503,-0.522184455609726,0.02568209822938258,58
56,0.38028225898742674,0.030701066726024035,0.054255557060241696,0.006215277490372681,568.9866029018293,100,7,1,"{'base_estimator__reg_lambda': 568.9866029018293, 'base_estimator__num_iterations': 100, 'base_estimator__max_depth': 7, 'base_estimator__feature_fraction': 1}",-0.5319748676349916,-0.5434027949459075,-0.5082501854023291,-0.5169998597604557,-0.5695271683084278,-0.47767269945239954,-0.5136136948670542,-0.5330035546390717,-0.5249942514997068,-0.5110536614341633,-0.5230492737944507,0.023031639465167557,59
51,1.6297403573989868,0.051451854861238606,0.059241962432861325,0.001424379800539637,0.002329951810515372,400,8,0.5,"{'base_estimator__reg_lambda': 0.002329951810515372, 'base_estimator__num_iterations': 400, 'base_estimator__max_depth': 8, 'base_estimator__feature_fraction': 0.5}",-0.573240987734869,-0.5448884932336513,-0.5337705218993627,-0.5192606772208859,-0.5137329022004758,-0.49282319350806303,-0.5006064399091891,-0.5054195375120487,-0.5265517485759938,-0.5303216175518795,-0.524061611934642,0.022350085929320286,60
62,1.6192685842514039,0.16433085807213405,0.06093873977661133,0.005132865445066587,0.0071968567300115215,400,7,0.25,"{'base_estimator__reg_lambda': 0.0071968567300115215, 'base_estimator__num_iterations': 400, 'base_estimator__max_depth': 7, 'base_estimator__feature_fraction': 0.25}",-0.5752100490408507,-0.5319559434615113,-0.5278292442053292,-0.5208874605794224,-0.5048760421221483,-0.4824590377457957,-0.507573371890832,-0.5041816248896621,-0.5357744756602782,-0.5508127964227407,-0.524156004601857,0.02514242935686935,61
9,0.3490661859512329,0.010450229343257322,0.052460527420043944,0.0026466392781752516,244.205309454865,200,1,1,"{'base_estimator__reg_lambda': 244.205309454865, 'base_estimator__num_iterations': 200, 'base_estimator__max_depth': 1, 'base_estimator__feature_fraction': 1}",-0.5432578664019299,-0.533066092397022,-0.5279183937762935,-0.48098864222623156,-0.5810156047988313,-0.5007585571277737,-0.5128665435868516,-0.5339029939985401,-0.5303528441631713,-0.5128459142473585,-0.5256973452724003,0.02543092527698239,62
43,0.3436801671981812,0.029814053829703265,0.053158926963806155,0.0027515046806359943,568.9866029018293,100,1,0.5,"{'base_estimator__reg_lambda': 568.9866029018293, 'base_estimator__num_iterations': 100, 'base_estimator__max_depth': 1, 'base_estimator__feature_fraction': 0.5}",-0.5440581012151504,-0.5350010504667345,-0.545021556829062,-0.5016294005547095,-0.5847630540802073,-0.497709836926936,-0.5423714017619403,-0.5569907303688785,-0.5440012367374647,-0.5089897606662518,-0.5360536129607334,0.02539168981602843,63
34,0.35036258697509765,0.011943443479094956,0.05295960903167725,0.001863000040348885,754.3120063354608,200,1,1,"{'base_estimator__reg_lambda': 754.3120063354608, 'base_estimator__num_iterations': 200, 'base_estimator__max_depth': 1, 'base_estimator__feature_fraction': 1}",-0.5531970618118203,-0.536753574887862,-0.5395487661581825,-0.5009343964438793,-0.6025763188494342,-0.49695040197312207,-0.542992528664375,-0.5547342009027405,-0.5427291093193961,-0.5109278919457173,-0.5381344250956528,0.029195845580987676,64
