,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_base_estimator__reg_lambda,param_base_estimator__num_iterations,param_base_estimator__max_depth,param_base_estimator__feature_fraction,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
53,0.6231336832046509,0.048049652572996565,0.05395541191101074,0.0012179704399117761,19.306977288832496,200,4,0.25,"{'base_estimator__reg_lambda': 19.306977288832496, 'base_estimator__num_iterations': 200, 'base_estimator__max_depth': 4, 'base_estimator__feature_fraction': 0.25}",-0.5653545158878959,-0.5226651084344311,-0.4725817477295505,-0.4935913828204427,-0.4891858721424013,-0.470365046072887,-0.46210643908814114,-0.5116721493574813,-0.4845945900889534,-0.5183066998420985,-0.4990423551464283,0.029509962353030765,13
57,1.132869577407837,0.11356798073834205,0.059241867065429686,0.00371021568390812,59.636233165946365,400,8,0.25,"{'base_estimator__reg_lambda': 59.636233165946365, 'base_estimator__num_iterations': 400, 'base_estimator__max_depth': 8, 'base_estimator__feature_fraction': 0.25}",-0.5632306102334708,-0.5225856244269835,-0.47844165720062304,-0.49124649413929744,-0.48966469402451196,-0.4701731179177099,-0.4612698811349321,-0.5140681448620628,-0.4870446994247287,-0.519325569498719,-0.4997050492863039,0.028782720948675213,14
18,0.41249642372131345,0.00907742606863461,0.05445525646209717,0.00119719135745022,1.151395399326447,100,4,1,"{'base_estimator__reg_lambda': 1.151395399326447, 'base_estimator__num_iterations': 100, 'base_estimator__max_depth': 4, 'base_estimator__feature_fraction': 1}",-0.5289754407763685,-0.5383539334692593,-0.4723115644914596,-0.4842658282319964,-0.4935333807271645,-0.4792510981063245,-0.45002022539074693,-0.5133379311206072,-0.51886585943169,-0.5196241366062676,-0.4998539398351885,0.02685859346277857,15
32,0.42027475833892824,0.01688527105361704,0.05684852600097656,0.008126453510338406,25.595479226995334,100,6,0.25,"{'base_estimator__reg_lambda': 25.595479226995334, 'base_estimator__num_iterations': 100, 'base_estimator__max_depth': 6, 'base_estimator__feature_fraction': 0.25}",-0.5552708370502106,-0.5254779205757864,-0.4815348062519164,-0.48541331430917223,-0.5115924852378534,-0.4673384987989298,-0.46899730333826783,-0.5077946927916333,-0.49159991908570594,-0.5073506306948798,-0.5002370408134356,0.02569988269022606,16
1,0.7925798892974854,0.03909004774328367,0.057148194313049315,0.0024855008238178263,0.49417133613238334,400,2,0.25,"{'base_estimator__reg_lambda': 0.49417133613238334, 'base_estimator__num_iterations': 400, 'base_estimator__max_depth': 2, 'base_estimator__feature_fraction': 0.25}",-0.5603260154000592,-0.5137602675644978,-0.48804310955047925,-0.4883684774884389,-0.4833396987216422,-0.4625559729726108,-0.46197779515306403,-0.5123667982367422,-0.5087810743772347,-0.5254935061349488,-0.5005012715599718,0.02847734642118281,17
2,0.5427479982376099,0.10802718748006586,0.05694835186004639,0.018147592163512652,2.023589647725158,100,5,0.25,"{'base_estimator__reg_lambda': 2.023589647725158, 'base_estimator__num_iterations': 100, 'base_estimator__max_depth': 5, 'base_estimator__feature_fraction': 0.25}",-0.5717858537572251,-0.5194979091648667,-0.48368144378265293,-0.4978170809020687,-0.4956631188595405,-0.4649373905405797,-0.46622709516556604,-0.49628861028606314,-0.4963040037104552,-0.5144037510433256,-0.5006606257212345,0.029023749720205962,18
59,1.1690730333328248,0.19374576606054397,0.057247471809387204,0.004639347296995692,44.98432668969444,400,5,0.25,"{'base_estimator__reg_lambda': 44.98432668969444, 'base_estimator__num_iterations': 400, 'base_estimator__max_depth': 5, 'base_estimator__feature_fraction': 0.25}",-0.5660652697673468,-0.5236170862625278,-0.4778906109096287,-0.49042493178585056,-0.48668421403364004,-0.46990728351851346,-0.46593759058896245,-0.5131824195404793,-0.4899621288088243,-0.5250070238396809,-0.5008678559055454,0.029391117147572882,19
29,0.6214371919631958,0.04667536456452269,0.05166196823120117,0.0048821912333945824,244.205309454865,200,4,0.5,"{'base_estimator__reg_lambda': 244.205309454865, 'base_estimator__num_iterations': 200, 'base_estimator__max_depth': 4, 'base_estimator__feature_fraction': 0.5}",-0.5238635896492208,-0.5278945485947564,-0.4895700992230597,-0.47354584162329794,-0.5377936018922139,-0.4815612768450451,-0.4701254438409396,-0.49733166362368053,-0.5025344998756373,-0.509847091525429,-0.501406765669328,0.022153403943466845,20
23,0.5406538009643554,0.018596574590973598,0.05465574264526367,0.002745900766666248,0.004094915062380427,100,6,0.5,"{'base_estimator__reg_lambda': 0.004094915062380427, 'base_estimator__num_iterations': 100, 'base_estimator__max_depth': 6, 'base_estimator__feature_fraction': 0.5}",-0.5411198921378502,-0.5327477208338999,-0.4900747359432226,-0.4959820638808667,-0.5021649795991112,-0.4765913990322286,-0.4676742990882225,-0.4995231427020478,-0.5000378608869033,-0.5168000198677514,-0.5022716113972103,0.021694196026483953,21
25,0.9286157369613648,0.03602169924442737,0.05565176010131836,0.001657134570031891,429.1934260128778,400,5,0.25,"{'base_estimator__reg_lambda': 429.1934260128778, 'base_estimator__num_iterations': 400, 'base_estimator__max_depth': 5, 'base_estimator__feature_fraction': 0.25}",-0.5356048648110787,-0.5175579628313527,-0.49324577407626435,-0.48424874306650273,-0.5280203802630059,-0.4652914849544221,-0.4771878453414013,-0.5102341274586898,-0.5067724693651434,-0.5113120417372169,-0.5029475693905077,0.021381327339585622,22
8,1.0198718309402466,0.03477617389005793,0.06113667488098144,0.004015949030521367,10.985411419875572,400,4,1,"{'base_estimator__reg_lambda': 10.985411419875572, 'base_estimator__num_iterations': 400, 'base_estimator__max_depth': 4, 'base_estimator__feature_fraction': 1}",-0.5386481020449967,-0.5264805660775633,-0.484106433118953,-0.48913551718129994,-0.4913063999192543,-0.49678882773196414,-0.4661388003392656,-0.5003278081927427,-0.502851416276467,-0.5352044298137575,-0.5030988300696264,0.022247634059046326,23
63,0.5256946086883545,0.03410104205354598,0.05345573425292969,0.002997308420460225,0.655128556859551,100,8,0.25,"{'base_estimator__reg_lambda': 0.655128556859551, 'base_estimator__num_iterations': 100, 'base_estimator__max_depth': 8, 'base_estimator__feature_fraction': 0.25}",-0.5717819959476451,-0.5248397520866325,-0.48851273450807337,-0.4961272142846168,-0.49799128837846923,-0.4636007368258241,-0.4829107204451059,-0.49311687588595754,-0.5055848152368989,-0.5152723853826648,-0.5039738518981889,0.02773356638863447,24
44,0.5151221513748169,0.01276660966815339,0.05445520877838135,0.004092235646887006,0.21209508879201905,100,7,0.25,"{'base_estimator__reg_lambda': 0.21209508879201905, 'base_estimator__num_iterations': 100, 'base_estimator__max_depth': 7, 'base_estimator__feature_fraction': 0.25}",-0.5700652227044449,-0.5257609674225138,-0.4860244538920366,-0.5003872878058497,-0.49774219219141297,-0.4621340450440405,-0.4803783074401455,-0.4938979850045486,-0.5113720028014468,-0.5199747262621418,-0.5047737190568581,0.02815995490656651,25
27,1.48263418674469,0.2197426684401792,0.05934123992919922,0.00487014513509518,19.306977288832496,400,8,0.5,"{'base_estimator__reg_lambda': 19.306977288832496, 'base_estimator__num_iterations': 400, 'base_estimator__max_depth': 8, 'base_estimator__feature_fraction': 0.5}",-0.5500460720703673,-0.5308783567329376,-0.4923435328963084,-0.4974293474266186,-0.49289997401145574,-0.48717453125734955,-0.46344711720341836,-0.49833285511476105,-0.49351560517580656,-0.5418588001134119,-0.5047926192002435,0.025771344848227816,26
4,0.5225026845932007,0.02333197394830582,0.05644900798797607,0.0065884957870639,0.012648552168552958,100,7,0.25,"{'base_estimator__reg_lambda': 0.012648552168552958, 'base_estimator__num_iterations': 100, 'base_estimator__max_depth': 7, 'base_estimator__feature_fraction': 0.25}",-0.5657781709726363,-0.5320289040000067,-0.4876123947050268,-0.4987819398524039,-0.5022848912013247,-0.4642642104201616,-0.48029487076744887,-0.4982909132130492,-0.5118847729776315,-0.5168593050350958,-0.5058080373144785,0.026961428753610166,27
19,0.3958405017852783,0.011101309743884076,0.05355734825134277,0.002046509030956373,184.20699693267164,100,5,1,"{'base_estimator__reg_lambda': 184.20699693267164, 'base_estimator__num_iterations': 100, 'base_estimator__max_depth': 5, 'base_estimator__feature_fraction': 1}",-0.5134539230910052,-0.5295549918963964,-0.49207936491459936,-0.4845643416416552,-0.5489963475030571,-0.48506132290756876,-0.47723599694367963,-0.5046872925930448,-0.5151472556450868,-0.5098322253068798,-0.5060613062442975,0.021161748426703517,28
39,0.8246922254562378,0.04533024872380267,0.06023972034454346,0.005645891682051159,0.15998587196060574,400,3,1,"{'base_estimator__reg_lambda': 0.15998587196060574, 'base_estimator__num_iterations': 400, 'base_estimator__max_depth': 3, 'base_estimator__feature_fraction': 1}",-0.5314279687370503,-0.5350747733257529,-0.4970138216573261,-0.4841270281534461,-0.503236369008669,-0.48190577487953384,-0.46268844241697077,-0.5075093683791673,-0.5223516815209372,-0.5392297057861066,-0.5064564933864959,0.024263033329122434,29
49,0.5027550458908081,0.020112417315766178,0.0562497615814209,0.001277367285734368,0.49417133613238334,400,1,1,"{'base_estimator__reg_lambda': 0.49417133613238334, 'base_estimator__num_iterations': 400, 'base_estimator__max_depth': 1, 'base_estimator__feature_fraction': 1}",-0.5648370146772499,-0.5302018623995022,-0.4970217608420306,-0.4979445851655706,-0.5001163041015225,-0.467404102105882,-0.4626023333125713,-0.5196019526740352,-0.49517344437684924,-0.5347142373032548,-0.5069617596958469,0.029526473954486755,30
17,0.5057470798492432,0.01541461702088861,0.05854370594024658,0.005901030665583525,0.0013257113655901094,400,1,1,"{'base_estimator__reg_lambda': 0.0013257113655901094, 'base_estimator__num_iterations': 400, 'base_estimator__max_depth': 1, 'base_estimator__feature_fraction': 1}",-0.5649499434548402,-0.5306518468822448,-0.4982963552943194,-0.49779520707506997,-0.4995940099416882,-0.4671401857957324,-0.4623436515093441,-0.5200979917463908,-0.49467008339724294,-0.5347237140890366,-0.5070262989185909,0.029678463617165668,31
