,DURATION,size,auc_t,,
0,4,2,,,
1,6,19,0.823529412,19,15.64705882
2,8,2,,,0
3,9,10,,,0
4,10,6,,,0
5,11,1,,,0
6,12,39,0.779310345,39,30.39310345
7,14,1,,,0
8,15,10,,,0
9,18,18,0.623376623,18,11.22077922
10,20,2,,,0
11,21,10,,,0
12,24,35,0.87755102,35,30.71428571
13,26,1,,,0
14,27,4,,,0
15,28,1,,,0
16,30,7,,,0
17,33,1,,,0
18,36,14,0.6875,14,9.625
19,42,2,,,0
20,47,1,,,0
21,48,13,0.833333333,13,10.83333333
22,60,1,,,0
,,,,138,0.785750439
